category,job_title,job_description,job_skill_set,group_labels
0,sr human resource generalist,"summary
the sr. hr generalist provides hr expertise across various functions including employee relations, talent acquisition, performance management, payroll, compensation and benefits. the sr. hr generalist has responsibilities that are strategic, administrative, and consultative. this role provides consultative hr business partner support to assigned business units across all aspects of the employee life cycle. this role also supports hr operations with weekly payroll processing. the sr. hr generalist is also responsible for developing and implementing hr solutions that align with the companys goals, ensuring a high level of employee engagement, and fostering a positive and inclusive workplace culture.
key responsibilities
 consult with assigned business partners on all aspects of hr.  facilitate and communicate organizational policies and programs to assigned business partners and ensure labor law and regulatory compliance. partner with business leaders in assigned areas to understand organizational goals and develop hr strategies that align with business objectives. contribute to the creation and implementation of policies and procedures governing employees. assist in designing and implementing performance management frameworks and processes to drive employee engagement and productivity and achieve business goals. train and partner with leaders on supervisory responsibilities. conduct investigations into employee complaints or grievances, ensuring fair and consistent resolution in accordance with company policies and legal requirements. navigate complex hr related situations and contribute to decision making. collaborate with hiring managers in assigned business units to identify staffing needs and develop recruitment strategies to attract top talent. conduct recruitment, including sourcing, screening and selection for selected roles. create and revise job descriptions to align with organizational needs. partner with learning and development to support the deve...","employee relations, talent acquisition, performance management, compensation and benefits, employment laws and regulations, analytical skills, employee benefits administration, hr policies and procedures, recruitment strategies, fmla, ada, communication, interpersonal skills, collaboration, influence, change management, professional development, payroll processing, job design, salary administration, human capital management system, hr audits and assessments, flsa, erisa, eeoc guidelines, confidentiality, intellectual curiosity",0
0,human resources manager,"be part of a stellar team at ysb as the manager of human resources. join us as ysb enters a new and vibrant era with the completion of the ysb center for youth success this summer. as part of the senior leadership team at ysb, the hr manager will develop, lead, and coordinate all activities under the human resources umbrella.
this role is responsible for planning, developing, leading, and coordinating all activities under the human resources umbrella including but not limited to talent acquisition, compensation and benefit structure, employee experience, performance management, and policy. must have a thorough understanding of federal and state legal compliance.
dutiesresponsibilitiescollaborate with leadership to identify proper staffing levels create a recruitment strategy by developing and executing best practices in talent acquisition.ensure all on-boarding activities follow legal and organizational policy including pre-employment screening, orientation, required paperwork.develop and maintain employee performance tools for productivity, recognition, engagement, performance review, investigations, and disciplinary matters.participate in employee health and safety using training and development platforms.implement and monitor the organizations compliance of federal, state, and local employment laws and regulations, recommend best practices, review and modify policies and practices as applicable to maintain compliance.process payroll and all required activities.create a system for personnel records and document retention.facilitate and maintain professional development, training, and certification activities for staff.assign technology assets to staff.collect and maintain documents required to create a driver record for all staff.responsible for administration of benefit package and point of contact for staff.assist adminfinance director in off-boarding of staff.assist during audits with personnel process and documentation.coordinate with leadership to attract and...","talent acquisition, employee performance management, legal compliance, payroll processing, microsoft office, policy development, training and development, background checks, collaboration, communication, problem solving, leadership, organizational skills, attention to detail, adaptability, shrm-cp certification",0
0,director of human resources,"our client is a thriving organization offering a unique opportunity for a director of human resources to join its dynamic team. with a strong focus on employee ownership, exceptional benefits, and a family-oriented environment. our client is committed to providing a rewarding and fulfilling work experience. as the company continues to grow and expand, there are ample opportunities for career advancement within the organization. top reasons to join our client. employee ownership our client is  esop employee owned, offering the chance to thrive from the companys success with a short -year vesting period.. great benefits enjoy  paid health premiums for individuals and families, k matching, vehiclegas benefits, bonuses, and more.. security the company has a strong outlook for the future of the market, particularly in grid expansion, upgrades, and solar field construction, with substantial growth over the past  years.. competitiveness our client offers full subcontractor abilities, serving as a one-stop shop for row construction, including drilling.. family oriented embrace a close-knit company culture with easy access to the executive team through an open door policy.. career advancement potential benefit from the growth of the company with ample opportunities for career progression.
job summarythe director of human resources at our client is responsible for leading the human resources functions, programs, and staff. this role involves ensuring that the company is resourced to effectively meet current and future workforce demands, providing best in class benefits programs, ensuring continuous improvement in hr systems, and focusing on talent development to build and sustain a high-performance and positive culture. the director of human resources acts as a key advisor to the leadership team and works collaboratively with all departments to ensure a commitment to safety, professionalism, and fair and consistent application of all policies. essential duties and responsibil...","human resources management, recruitment, employee relations, performance management, compliance with labor laws, data management, training  development, payroll management, project management, computer skills, communication, team building, attention to detail, problem solving, conflict management, leadership, time management, collaboration, motivation, adaptability",0
0,chief human resources officer,"job title chief human resources officer chroindustry entertainment  media 
job descriptioneast th street partners is seeking an experienced and innovative chief human resources officer chro for a leading entertainment and media company. this role is perfect for a strategic hr leader who has a passion for the dynamic world of entertainment and media, and is skilled in managing diverse talent in a creative environment.
key responsibilitiesdevelop and execute a comprehensive human resources strategy aligned with the companys overall business objectives and creative culture.lead all aspects of hr, including talent acquisition, development, retention, and succession planning.foster a positive and inclusive workplace culture that supports creativity, collaboration, and diversity.implement effective hr policies and practices to drive organizational performance and employee engagement.oversee compensation and benefits strategies to attract and retain top talent.work closely with the executive team to support the companys growth and strategic initiatives.manage hr compliance and risk, ensuring adherence to legal and regulatory requirements.qualificationsproven experience as a chro or senior hr leader, preferably in the entertainment, media, or related creative industries.bachelors degree in human resources, business administration, or related field advanced degree or hr certification preferred.strong leadership and communication skills, with a track record of building high-performing teams.expertise in talent management, organizational development, and culture building.knowledge of hr best practices and current legal and regulatory landscapes.compensationcompetitive salary package with comprehensive benefits.


job title chief human resources officer chroindustry healthcare 
job descriptioneast th street partners is looking for a seasoned chief human resources officer chro for a fast-growing healthcare company. the ideal candidate will bring strategic hr leadership to a dyna...","talent management, organizational development, hr compliance, hr technology systems, data-driven hr analytics, compensation and benefits strategies, strategic hr planning, workforce planning, employee development, performance management, leadership, communication, collaboration, creativity, inclusivity, change management, employee engagement, problem solving",0
0,human resources generalist hybrid role,"description

 who we are 

avi-spl is a digital enablement solutions provider who transforms how people and technology connect to elevate experiences, create new value, and enable organizations to thrive and grow. we are the largest provider of collaboration technology solutions, which include our award-winning managed services.

our highly certified industry experts and innovation leaders share a vision to help people work smarter and live better. we believe that success starts with a sound team and that an inclusive and diverse workplace moves us all forward.

what youll do

this position is primarily focused on supporting hr initiatives and strategies related to organizational development  change management.

day-to-day responsibilities

develops and executes effective change management strategies, plans and materials to accelerate organizational effectivenessprovides input on processes and key functions and management that support business improvementscollaborates with internal organizations and managers to improve engagement and retention within the organization by and utilizing hr programs and toolsconduct employee investigations and assist managers with performance improvement plans and disciplinary actions as necessaryassist with employee onboarding and offboardingassist with compliance reportingprovide support to employees on various hr-related topics and resolves issues that may ariseresponsible for assisting managers and employees with performance management, goal setting and year end conversationsgather and analyze data for the purpose of improving organization performancemaintain employee files and recordsassist with employee exit interviews and develops programs to improve retentionresponsible for creating and revising job descriptionswork with finance, accounting, and payroll team on job code related issuescontribute to creating solutions for best practices initiatives in such areas as employment, employee communications, career development, compensat...","microsoft office, data analysis, employee onboarding, strategic thinking, problem solving, time management, attention to detail, communication, customer service, interpersonal skills, independence, hris systems, organizational development, change management, compliance reporting, performance management, job description creation, employee investigations, conflict negotiation, confidentiality",0
0,human resources manager,"job description  the hr manager will support company objectives and performance by proactively managing theworkforce with respect to all hrrelated issues. this includes company hr policies, procedures, processes, and best practices. the hr manager should work proactively with all employees and functional areas to deliver valueadded services to employees and management reflective of the core values and business objectives of the organization. this position will also oversee talent acquisition, planning, compliance, benefits, and other programs.  this role requires daily presence onsite at the company headquarters, with visits to branch offices in anaheim, concord, woodinville wa, and future locations quarterly, and as needed at other times. while the hr manager role is not a remote work role, remote work may be possible occasionally based on need. dutiesresponsibilities generala. proactively advise senior leadership in all areas of workforceemployee hr management to ensurecompliance with labor law, and be a resource to them.b. adopt and act within the spirit of the company core values in all interactions with current employees, former employees, consultants, vendors, and other stakeholders.c. maintain high ethical standards in all matters and confidentiality.d. explain and emphasize the importance of the company core values to all employment candidates, and new hires by being an ambassador for their promotion and adoption.e. maintain the view that hr is a resource to help and support all employees in a positive, proactive, fair, and even handed way and keep respect for others at the core of all interactions in doing so.f. act in every way possible to maintain positive employee relations.g. hr strategic planning as a means to tailor hr services to a changing and growing environment. recruiting, onboarding  labor compliancea. work with management to run an effective recruiting program with the goal of locating, and hiring, and retaining a qualified and effective workfo...","hr management, talent acquisition, labor compliance, employee relations, benefits administration, payroll management, safety procedures, communication, leadership, teamwork, problem solving, organizational skills, attention to detail, flexibility, positive attitude, self-starter, erp software, excel, o tools, discrepancy resolution, customer relations",0
0,human resources generalist,"drive your future with turn  distribution named sema channel partner of the year , and sema wd of the year , , , turn  distribution is always seeking great talent that will continue to elevate us as an industry leader. position overviewwe are searching for a hr generalist who will be responsible for performing a broad range of human resources related duties for assigned warehouse operations and will work closely with other members of the hr team in support of the business operational needs of the organization. duties include but are not limited to the following
key duties include
recruitment, training, and onboardingsupport the talent acquisition and recruitment process by assisting with the coordination of job posting, reviewing resumes, performing background and pre-placement testing and, conducting onsite interviewscoordinate the preparation of offer letters and other new hire materialslead new hire orientation and perform necessary onboarding tasks in the hris system ceridiandayforcework hands-on with leads, supervisors, assistant managers, and managers to improve leadership skills.onboard, coach, and assist in developing associates at all levels in the warehouse to ensure productivity standards are consistently being met.
performance managementassist with the performance management process, including but not limited to, the evaluation process, performance expectations, the discipline process, etc.assist with employee relations and partner with the hr director on investigation-related mattersconduct  day and annual check-in meetingsconduct exit interviews and job description review
 benefits administrationconduct onsite benefit meetings and assist with benefits initiativespartner with payroll on payroll-related matters, including audits, etc.partner with benefits management on benefits administration and leave management mattersassist employees with enrollment as they become eligible for annual enrollment as requested.partner with hr director on the completion o...","microsoft office, communication, attention to detail, professionalism, recruitment, training, onboarding, performance management, hris ceridiandayforce, benefits administration, knowledge of hr laws, employee relations, time management, teamwork, confidentiality, stress management, initiative, relationship building, collaboration",0
0,human resources information system specialist,"the role of an hr information systems specialist is multifaceted, involving a blend of human resources, data analysis, and technology. the primary responsibility is to collaborate with human resources, business leaders, executives, and it to understand business needs, gather requirements, and implement solutions. this individual will collect, compile, and analyze hr data, metrics, and statistics and apply this data to make recommendations related to recruitment, retention, business operations, and compliance.
the organization is going live on the adp hris platform on oct , .
 analyze hr data to identify trends, patterns, and insights. work with hr and business leaders to configure the hris to address business needs. provide recommendations for process improvements based on data analysis. understand the impact of technology solutions on hr processes. work closely with hr, operations, and it stakeholders to define business requirements. develop simple and complex reporting based on business requirements. implement and support hr systems and tools. collect hr data from employees, supervisors, customers, or other relevant individuals. compile past data from employment records and exit interviews. refer to larger databases, like those that store government labor statistics. work with multiple systems to compile and integrate system data. develop optimal workflows within the systems. clean data to eliminate any errors and create more meaningful analyses. analyze data and by using various tools excel and programs. based on metrics and analysis, makes recommendations for policies and activities to improve the organizational culture including suggestions to attract and hire qualified candidates, to motivate and retain employees, address staffing issues, and maintain legal compliance. 
education  experience a relevant degree, such as bachelors degree in fields like business, computer science it, human resources, or accounting  finance or an equivalent level of experience. edu...","adp hris, reporting, data compilation, excel, technology solutions, compliance knowledge, collaboration, communication, problem solving, recommendation making, attention to detail, self-management, organizational skills, data analysis, hr data metrics, data cleaning, data integration, hris configuration, business requirements gathering, workflow development",0
0,human resources generalist,"direct-hire, , salary
the ideal candidate will be responsible for recruitment efforts, new hire orientation and onboarding, employee termination, and company policy and procedure adherence. in addition, you will build strong relationships with our companys managers in order to help them with their human resource needs.  responsibilitiesoversee full-cycle of recruitment effortsdevelop and oversee new hire orientation, onboarding efforts and employee termination processassist with payroll and benefits administrationensures compliance with company policies and procedures and legal responsibilities
qualifications
bachelors degree or equivalent experience in human resources in a manufacturing setting, or related area+ years of experience working in human resourcesstrong interpersonal and communication skills","recruitment, payroll administration, compliance, human resources management, policy adherence, manufacturing hr experience, interpersonal skills, communication, relationship building, onboarding, employee termination, benefits administration",0
0,human resources project manager,"hybrid roleonsite required to work onsite at office - daysweek up to  daysweek during busy periods in mayjunehours per week - hours depending on workload
must haves + yoe in hr project managementsmartsheets, or similar tools creating hr training programs creating hr communications for enterprise organizations working with confidential information skill  experience required experience with hr project managementexperience managing complex employee events ability to work with senior leaders ability to work with highly confidential information description provide hr project management for an operating model transformation, including employee events, new team formation, and engagement with leadersprovides project management and hr business partner staff support to optimize operating model transformation develop and maintain project documentation, including project plans, status reports, issue logs, and change control documentation. development materials to support change management, learning  development, teaming, and onboarding manage project risks and issues, and develop mitigation strategies to ensure project success. conduct regular meetings with project teams to provide updates on project status, discuss challenges, and make recommendations for improvement. manages stakeholder expectations and provides guidance and advice throughout project duration. fosters and maintains good relationships with hr colleagues to ensure that processes are maintained and supported following project completion. other related duties as assigned nice to havesshrm-cp certificationpmp certification","project documentation, communication, stakeholder management, relationship building, problem solving, team collaboration, leadership, adaptability, hr project management, smartsheets, creating hr training programs, creating hr communications, managing complex employee events, change management, risk management, pmp certification, shrm-cp certification, confidentiality",0
